paper_title,method_name,time_space_complexity,application_scenario,pros_cons,data_driven
AgentSpec: Understanding Embodied Agent Scaffolds Through Controlled Composition,AgentSpec 模块化规范框架（标准化组件接口与受控组合）,未明确说明,"具身智能体（DeliveryBench, ALFRED, MiniGrid, RoboTHOR）",优点：可分离组件贡献，揭示模块交互效应；缺点：摘要未说明局限性,无法确定
Towards Direct Latent-Space Synthesis for Parallel Branches in LLM-Agent Workflows,Parallel‑Synthesis（缓存映射器 + 微调合成器适配器）,未明确说明,LLM 代理工作流并行分支合成（数学、科学问答、代码生成、GAIA、多智能体诊断）,优点：首 token 加速 2.5‑11 倍，多数任务匹配或超越文本合成；缺点：部分数据集性能仅接近文本合成，可能需场景适配,是（需下游数据集微调合成器）
A Statistical and Machine Learning Framework for Operational Threshold Detection and Deployable Dispatch Controller Development in Hydrogen Multi-Energy Systems,统计推断与机器学习互补框架（等级方差分析、随机森林、序列模型、强化学习）,未明确说明,氢基多能系统运营调度（太阳能、风能、电解制氢）,优点：同时捕捉线性与非线性驱动因素并优化调度收益；缺点：摘要未说明局限性,是（基于一年高分辨率运营数据）
LoSoNA: A Benchmark for Local Social Norm Adaptation in Group Conversations,LoSoNA 基准与规范感知提示评估,未明确说明,多方群聊中的隐式本地社会规范适应评估,优点：首个此类基准，揭示规范遵循弱点；缺点：摘要未说明局限性,是（基于自建基准数据）
Regulating the Machine Contributor: Governance and Policy Alignment in Open Source,指标编码的最相似系统设计与过程追踪法,未明确说明,开源贡献政策与 AI 治理框架对齐,优点：揭示治理空白，提出六维分类法；缺点：仅覆盖六个组织，通用性受限,否（定性政策分析）
When Errors Become Narratives: A Longitudinal Taxonomy of Silent Failures in a Production LLM Agent Runtime,纵向观察研究与五类无声故障分类法,未明确说明,生产级 LLM 个人助理代理运行时,优点：发现 fail‑plausible 现象，提出防御设计原则；缺点：单系统单时段，通用受限,是（基于生产日志与事后分析）
SIMMER: Benchmarking Latent Failures in LLM Executable Planning with a World Model,SIMMER 基准与基于世界模型的显式状态推理,未明确说明,厨房领域 LLM 规划任务（家庭环境自主代理）,优点：检测潜在失败和不可逆失效，降低失败率；缺点：仅限厨房领域，泛化性待验证,是（基于符号世界模型与 LLM 评估）
StreamMemBench: Streaming Evaluation of Agent Memory for Future-Oriented Assistance,StreamMemBench 流式记忆评估基准,未明确说明,自我中心流数据中的面向未来辅助记忆评测,优点：流式评估覆盖证据使用与反馈重用全过程；缺点：摘要未说明局限性,是（基于自建基准数据）
From Chatbot to Digital Colleague: The Paradigm Shift Toward Persistent Autonomous AI,双维度转型框架（深思型 LLM + 工作站‑技能范式）,未明确说明,通用 AI 自主任务执行（长期项目管理、自动化工作流等）,优点：提出认知与工具执行的双重进化概念；缺点：缺乏实验验证，停留于概念推导,否（概念框架，未报告实验数据）
"When the Tool Decides: LLM Agents Defer Blindly to Graph Neural Network Tools, and Stronger Backbones Defer More",ReAct+GNN 工具集成与选择性调用门,未明确说明,"文本属性图节点分类（ogbn‑arxiv, WikiCS）",优点：揭示 LLM 代理盲目服从工具现象及规模反直觉关系；缺点：选择性调用增益有限，未全局提升，受限于特定场景,是（基于图数据集实验）
"GitOfThoughts: Version-Controlled Reasoning and Agent Memory You Can Replay, Diff, and Merge",GitOfThoughts,未明确说明,智能体推理记忆管理，用于推理过程版本控制、审计与重放,优点：可审计、可溯源、支持跨代理合并，保持准确率；缺点：记忆通用性低，仅对高相似度重复案例有效,是
tap: A File-Based Protocol for Heterogeneous LLM Agent Collaboration,tap协议,未明确说明,异构LLM代理在软件开发中的协作,优点：基于文件持久化的鲁棒通信，支持异构代理，拓宽审查视角；缺点：仅验证两种模型，自我应用场景，泛化性未证实,是
Running the Gauntlet: Re-evaluating the Capabilities of Agents Beyond Familiar Environments,GauntletBench,未明确说明,智能体在视觉密集专业任务上的泛化能力评估,优点：高难度，揭示泛化局限，模块化自动评估；缺点：未明确说明,是
No Accidental Software Agent First Canonical Code for Human Code Entropy Reduction and 30 to 500 times Lower Frontier Model Requirements,代理优先规范代码,未明确说明,代码生成中消除意外熵以降低模型需求,优点：理论上大幅降低前沿模型需求，摊销验证成本；缺点：仅初步验证标记抑制，行为保持和缩放经济性未证实,是
Communication Policy Evolution for Proactive LLM Agents,CPE(通信策略进化框架),未明确说明,主动式LLM代理中用户-代理或规划者-执行者间的通信策略优化,优点：混合文本与UI优势，提示词级进化无需修改模型，提升多项指标；缺点：未明确说明,是
Retrospective Progress-Aware Self-Refinement for LLM Agent Training,RePro,未明确说明,LLM代理在交互式环境中的训练与自我改进,优点：无需外部持续监督，回顾生成进展信号提升决策，成功率显著提高；缺点：未明确说明,是
FloVerse: Floor Plan-Guided Multi-Modal Navigation,ThreeDiff,未明确说明,具身导航，统一点、物体、图像多模态导航，利用平面图先验,优点：统一多模态导航，平面图先验提升性能；缺点：未明确说明,是
"HarnessX: A Composable, Adaptive, and Evolvable Agent Harness Foundry",HarnessX,未明确说明,多种基准任务的agent运行时构建与适应,优点：可组合自适应，无需手工定制，性能平均提升14.5%；缺点：未明确说明,是
SkillAudit: Ground-Truth-Free Skill Evolution via Paired Trajectory Auditing,SkillAudit,未明确说明,无监督信号下的智能体技能演化，用于多领域容器化任务,优点：无需真实标签即可改进技能，显著优于静态技能；缺点：未明确说明,是
Selective Agentic Recovery for UAV Autonomy with a Persistent Mission Runtime,PMR+learned-CVI门控,未明确说明,无人机在高风险困境中的选择性远程恢复推理,优点：困难情境成功率从5%升至95%，减少远程调用和令牌消耗；缺点：仅在仿真环境验证，未在真实无人机上测试,是
Closing the Reflection Gap: A Free Calibration Bonus for Agentic RL,RefGRPO,未明确说明,Text-to-SQL任务,优点：提供免费校准信号，同时改进反思校准和任务准确率，可扩展至无监督自我改进与选择性预测。缺点：未明确说明。,是
When Should Agent Trust Be Conditional? Characterizing and Attacking Skill-Conditional Reputation in Agent Swarms,技能条件信任分析与CIVT/零证据门防御,未明确说明,异构LLM代理群信任建模，如AppWorld基准,优点：首次揭示条件信任的效益条件与安全风险，量化跨技能攻击的权衡，提供防御方法。缺点：无法根除攻击，残留风险；未处理女巫攻击。,是
CacheRL:Multi-Turn Tool-Calling Agents via Cached Rollouts and Hybrid Reward,CacheRL,未明确说明,多步工具调用任务（agentic tool-calling benchmarks）,优点：大幅降低计算成本，小型模型达到竞争性能，缓存和混合奖励有效迁移知识。缺点：缓存噪声限制保真度；强SFT后GRPO增益有限；泛化性未说明。,是
VeriGeo: Controllable Geometry Question Generation with Numerical and Analytical Verification,VeriGeo,未明确说明,可控几何题目生成，用于微调多模态大模型,优点：生成一致且可验证的问题，支持概念与难度控制，微调后达到SOTA性能。缺点：未明确说明。,是
Graph-based Target Back-Propagation for Context Adaptation in Multi-LLM Agentic Systems,GTBP,未明确说明,多LLM代理系统的上下文适应,优点：一致超越强基线，计算开销相当，理论收敛保证。缺点：未明确说明。,是
Trust but Verify: Mitigating Medical Hallucinations via Post-Hoc Adversarial Auditing and Multi-Agent Feedback Loops,五智能体事后对抗审计系统,未明确说明,临床问答中药物安全验证，防范过时监管知识,优点：大幅降低幻觉错误率，成功拦截不安全输出。缺点：仅评估多选题场景，未覆盖真实临床对话。,是
Simulating Students' Java Programming Errors with Large Language Models,LLM学生错误模拟（多种提示策略）,未明确说明,编程教育研究中生成合成Java错误数据,优点：快速生成与真实错误难以区分的合成数据，高多样性。缺点：高难度问题下学生相似度下降；领域泛化性有限。,是
Utility-Constrained Policy Optimization,效用约束策略优化,未明确说明,安全强化学习，如Safety Gymnasium基准,优点：支持灵活事后约束调整和风险敏感约束，性能强于基线。缺点：未明确说明。,是
Formalizing Numerical Analysis: An Agent Pipeline and Quality Audit Beyond Kernel Acceptance,编码代理形式化流水线与多维质量审计,未明确说明,数值分析教材形式化，质量审计,优点：揭示编译通过掩盖的不忠实形式化模式，提供可复现审计方法。缺点：未明确说明。,否
Dialogue SWE-Bench: A Benchmark for Dialogue-Driven Coding Agents,Dialogue SWE-Bench基准与模式引导代理,未明确说明,对话式软件工程任务，人机协作编码,优点：还原对话能力独立维度，模式引导代理可提升性能。缺点：未明确说明。,是
Hidden in Plain Sight: Benchmarking Agent Safety Against Decomposition Attacks with DECOMPBENCH,DeCompBench（分解攻击基准）,未明确说明,智能体安全评估，分解攻击场景下的安全基准测试,优点：首个系统性针对分解攻击的基准，揭示安全机制对表面无害子任务的脆弱性；缺点：数据集规模与多样性边界未说明，未提供防御方案,否（评估基准）
MedLatentDx: Latent Multi-Agent Communication for Cross-Hospital Rare-Disease Diagnosis,MedLatentDx（潜在多智能体通信）,未明确说明,跨医院罕见病诊断，隐私保护下的联邦医疗AI协作,优点：在保护隐私的同时提升跨院诊断性能，减少可重构内容泄露；缺点：对疾病类型泛化性、潜在块大小－隐私性能权衡及真实部署可行性未详细分析,是（基于自建CrossRare-Bench训练与评估）
